product_id,field,extracted_text,final_verdict,agreement,n_models,should_be_consensus,offending_text,reason,vote_gpt-5.5-pro
56634,redo_desc_about,"Our Jet Skis are highly maintained and we provide you with all the latest safety equipment you need to ensure your time on the water is awesome. The 2019 Seadoo GTI is a highly reactive PWC with superb handling in all conditions. At Ultimate Watersports we provide only the best gear for our customers. This 15 minute session is enough to get a good feel for the water and the ski itself. If you are a first timer and simply want to cross this off the bucket list, don't worry. We also provide you with a brief training and will supervise you to make sure you have the best experience possible.",CORRECT,1/1,1,,,,CORRECT
56634,redo_desc_duration_text,up to 8 hours,CORRECT,1/1,1,,,,CORRECT
56634,redo_meeting_point,Exmouth WA,CORRECT,1/1,1,,,,CORRECT
56634,redo_booking_what_to_bring,Photo ID will be required,CORRECT,1/1,1,,,,CORRECT
56634,redo_booking_location,UW operates from the Exmouth Town Beach from May to September. Click [HERE](https://goo.gl/maps/QFZ6cNXfKSJ2) for directions.,CORRECT,1/1,1,,,,CORRECT
56634,redo_booking_check_in,Please fill out this Waiver before you arrive https://waiver.smartwaiver.com/w/5d5224118c285/web/,WRONG_FIELD,1/1,1,redo_booking_before_arrival,Please fill out this Waiver before you arrive,"Completing a waiver before arrival is a pre-arrival action, not an action on arrival/check-in.",WRONG_FIELD
56634,redo_booking_contact,For any questions or concerns call **9999 1839*,CORRECT,1/1,1,,,,CORRECT
57838,redo_desc_about,"Enjoy a morning cruise searching for humpback whales. Cruise along the stunning waters off Cable Beach on board 'Orcaella' our 50 foot catamaran in search for humpback whales. Start your morning with some freshly baked morning tea and hot beverage. There is plenty of room to spread out on both our decks. If you are keen to get wet, why not enjoy swimming in the boom net off the back of the boat? This cruise is a fantastic way to start your morning in Broome.",CORRECT,1/1,1,,,,CORRECT
57838,redo_desc_what_included,"Courtesy bus transfers
Boom netting (swimming) available
Morning tea
Tea Coffee & Juice",CORRECT,1/1,1,,,,CORRECT
57838,redo_desc_duration_text,3 Hours,CORRECT,1/1,1,,,,CORRECT
57838,redo_meeting_point,Broome,CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_what_to_bring,"Wear comfortable shoes that are easy to remove before boarding. Thongs are suitable. Don't forget your jumper, sunglasses, hat, towel and bathes.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_what_not_to_bring,NO RED WINE OR BOTTLED SPIRITS PERMITTED ON BOARD.,CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_inclusions,"Our team will provide you with freshly made morning tea, coffee & tea, cooled juice and milo.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_departure_info,"Bus Transfer times will be confirmed closer to the time of tour via text message. The times given are an approximate time, allow 5-10 minutes waiting time as the bus schedule varies each day. If the bus has not arrived within 10 minutes, please contact our office asap on 9192 8163.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_important_info,"Boom net swimming is available during the cooler months: April - October. All swimmers must be competent in the water and a reasonable level of fitness is required to climb out of the net.
WE ARE A NON SMOKING VESSEL.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_before_arrival,"IMPORTANT: Please ensure you are contactable on the day of departure for any last minute changes. We will notify you via text message through our booking system from mobile number +1(855) 656 1272 and/or 0407 209 193. If we are unable to reach you and an email address has been supplied, we will send you an email. It is your responsibility to ensure the contact details on your booking is correct and that you have checked your messages. We strive to keep all guests up to date with any changes and do our best to avoid any disappointment on the day.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_contact,"If the bus has not arrived within 10 minutes, please contact our office asap on 9192 8163.",CORRECT,1/1,1,,,,CORRECT
57838,redo_booking_other,"WHALE SIGHTINGS ARE NOT GUARANTEED.
We are a licenced vessel but we welcome BYO as well. Premixed drinks purchased from liquor stores are permitted including UDLs etc. Glass bottles are also welcomed.",CORRECT,1/1,1,,,,CORRECT
74565,redo_desc_about,"Our most popular (and highly exclusive package, the Cellar Door and Lunch Tour gives you red carpet treatment, with that superstar ‘Door to Door’ experience. Combine your love of award winning wines, local gourmet cuisine and the thrill of experiencing almost every square inch of the Hunter Valley in your private Helicopter. A must see and do experience for visitors to the Wine Region.",CORRECT,1/1,1,,,,CORRECT
74565,redo_desc_what_included,"VIP helicopter pick up and return from your local accommodation or Cessnock Airport
Scenic Flight en route to your private wine tasting and lunch venues
Private wine tasting at a highly recommended Hunter Valley winery
A-la-carte lunch and glass of wine at premium local restaurant (see recommendations)
Opportunity to further wine taste and purchase take home items",WRONG_FIELD,1/1,1,redo_desc_what_excluded,purchase take home items,Purchasing take-home items implies an optional customer-paid cost rather than something included at no extra charge.,WRONG_FIELD
74565,redo_desc_duration_text,Up to 5 1/2 hours,CORRECT,1/1,1,,,,CORRECT
74565,redo_desc_requirements,"Maximum individual weight allowed is 135KG (we re-weigh all passengers on the day).
Maximum combined weight limits apply on flights of 3 or more passengers.
Passengers must notify staff if they have been scuba diving in the past 24 hours.
No selfie sticks allowed on or around helicopter.",CORRECT,1/1,1,,,,CORRECT
74565,redo_desc_other,"Private Flight
2 guests - A$440 per person
3-5 guests - A$390 per person",CORRECT,1/1,1,,,,CORRECT
74565,redo_booking_what_not_to_bring,No selfie sticks allowed on or around helicopter.,CORRECT,1/1,1,,,,CORRECT
74565,redo_booking_location,"All flights depart from our base at Cessnock Airport: 455 Wine Country Drive, Pokolbin NSW 2320",CORRECT,1/1,1,,,,CORRECT
74565,redo_booking_important_info,"- Maximum individual weight allowed is 135KG
- Maximum combined weight limits apply on flights of 3 or more passengers
- Passengers must notify staff if they have been scuba diving in the past 24 hours",CORRECT,1/1,1,,,,CORRECT
74565,redo_booking_contact,Contact us if you have any questions or special requests.,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_about,"Touch, feel and sort a selection of our beautiful harvest as we guide you through the specialized skill of pearl grading.
Immerse yourself in our beautiful Boutique and stunning selection of loose pearls and pearl jewellery. You can discover the story of Australia’s Pearling Pioneers following the journey with our 10-meter timeline and see “The Australian Pearl”; believed to be the world’s largest fine quality round pearl at 22.24mm.",CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_what_included,- Hands-on grading of loose pearls,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_what_excluded,This tour is designed to be a follow on from our Pearl Farm Discovery Tour or Live Pearl Harvest. Book separately.,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_what_to_bring,Camera,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_duration_text,1 hour,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_requirements,Due to security reasons this product is suitable for adults only.,CORRECT,1/1,1,,,,CORRECT
87818,redo_desc_check_in,Please arrive 10 minutes prior to tour start.,WRONG_FIELD,1/1,1,redo_booking_departure_info,Please arrive 10 minutes prior to tour start.,This is arrival timing rather than an action to complete on arrival.,WRONG_FIELD
87818,redo_meeting_point,"23 Dampier Terrace, Broome",CORRECT,1/1,1,,,,CORRECT
87818,redo_booking_location,Broome Boutique,CORRECT,1/1,1,,,,CORRECT
87818,redo_booking_check_in,Please arrive at the Broome Boutique 10 minutes prior to tour.,WRONG_FIELD,1/1,1,redo_booking_departure_info,Please arrive at the Broome Boutique 10 minutes prior to tour.,"This gives when and where to arrive, not an action to perform on arrival.",WRONG_FIELD
87818,redo_booking_departure_info,This is a 1 hour tour.,WRONG_FIELD,1/1,1,redo_desc_duration_text,This is a 1 hour tour.,"This states the duration of the experience, not departure timing or departure location.",WRONG_FIELD
87818,redo_booking_contact,For any questions call **(08) 9192 5402** or email us at **broometours@cygnetbaypearlfarm.com.au**.,CORRECT,1/1,1,,,,CORRECT
88342,redo_desc_about,"Learn the history of the islands of the Hawkesbury – Lion Island, Dangar Island, Spectacle Island, Long Island, Peat Island, Milson Island, and Bar Island. Cruise past the water-access-only settlements of the Lower Hawkesbury, and see the wreck of the HMAS Parramatta, Australia's first warship, and find out how it ended up on the Hawkesbury River lying at the foot of spectacular sandstone cliffs.",CORRECT,1/1,1,,,,CORRECT
88342,redo_desc_requirements,This cruise requires a minimum of 25 people to run.,WRONG_FIELD,1/1,1,redo_group_size,This cruise requires a minimum of 25 people to run.,"A minimum participant count is a group size limit, not a restriction on who can participate.",WRONG_FIELD
