compound_key,product_id,source,product_name,product_headline,product_price,product_currency,product_price_options,product_duration,product_duration_minutes,product_main_image,product_images,product_category,location_street,location_city,location_state,location_country,location_postcode,location_latitude,location_longitude,detail_description,detail_highlights,detail_what_is_included,detail_what_is_not_included,detail_itinerary,detail_important_info,detail_booking_notes,detail_meeting_point,detail_check_in,detail_departure_info,detail_before_arrival,detail_what_to_bring,detail_what_not_to_bring,detail_accessibility,detail_restrictions,detail_special_requirements,detail_health_safety,detail_group_size,detail_faqs,detail_extras,detail_disclaimers,detail_cancellation_policy,detail_cancellation_hours,detail_tax_percentage,detail_pricing_notes,detail_pickup_available,meta_supplier_name,detail_operator_contact
101814|Fareharbor,101814,Fareharbor,NRMA SurfGroms - School Holidays,$160pp + online booking fee |  3 x 90mins lessons Holiday Program,160.0,AUD,Child ($160): $145.45 | Child ($160) 3 lesson holidays: $145.45 | Child ($180): $186.36,,,https://cdn.filestackcontent.com/fBpRl68PQwal5YaiEGCg,"[""https://cdn.filestackcontent.com/fBpRl68PQwal5YaiEGCg""]",Rentals,,,,,,,,"NRMA SurfGroms adopts an approach to learning that uses group-based games to not only equip your child with the skills they need to surf and/or SUP, but also to encourage their participation by having fun. Every NRMA SurfGroms lesson is designed purposefully to create a positive and supportive learning environment.

NRMA SurfGroms teaches children from 5-12 years old core skills in the ocean across five incremental skill levels, as well as fundamental Ocean Awareness and Beach Safety skills such as surf survival and rescue techniques; basic first aid skills; and about varying surf conditions at the beach.

Our sessions have flexible times and locations to ensure a safe and fun lesson so listed times are only approximate. The tide plays a huge part in how the waves work so we use the tide charts and the surf conditions to plan our programs. Surfing is a lifestyle with the ocean our playground, every grom and parent will learn all about Newcastle's beautiful beaches and how to have the most fun surfing them. Main locations are Caves, Blacksmiths and Stockton Beaches.

Every child registered for a NRMA SurfGrom program will receive a gift pack at the start of each season.",,"We will provide you with the following when you arrive for your lesson:
Surfboard
Wetsuit
Rash Shirt
Sunscreen
Experienced and accredited Surfing Australia instructors",,,Please note our sessions are timed to tide and surf conditions so will vary to ensure the safest lessons. Times listed are a guide only and subject to change.,"All lessons are 80-90 minutes
We will reach out to you directly to confirm each day's start time closer to the start of the program.","Location 1: LOCATION 1: BLACKSMITHS BEACH
Swansea belmont surf club Blacksmiths NSW 228, Australia
Meet at the car park on the right side of the Swansea Belmont Surf Life Saving Club.
Click here to see on Google Maps (https://goo.gl/maps/dgc8sevfMVw)
Location 2: Caves Beach: Stuart Chalmers Park, Caves Beach NSW 2281, Australia
Click here to see on Google Maps (https://goo.gl/maps/xdDBRDWrjP62)",,,,"We provide the necessities for your surf lesson, but try to remember the following items:
Swimwear
Towel
Sunscreen
Drinking water
A HUGE smile and readiness to have lots of fun !!
A piece of fruit!",,,,,,,,,,"At Learn to Surf Newcastle, we run surf lessons in all weather and surf conditions, rain hail or shine, providing it is safe to do so. If the surf is too big, or completely flat, or if the conditions are unsafe due to high winds or lightning, then we will reschedule your lesson. If we change the time and you are unable to come to the new lesson, then we will provide a credit toward another lesson at a later date. If that is unsatisfactory we may issue a refund at our discretion.

If you would like to reschedule a lesson you have booked, we need at least 24 HOURS NOTICE. Failure to give the necessary notice will mean you forfeit the cost of that lesson. Under these circumstances there are no refunds, partial or otherwise.",24.0,10,"3 lesson in a row from start date listed
AU $160pp inc rego fee
Active Kids vouchers accepted too
Times listed are a guide only and subject to change with surf conditions and tides.
Please call to book in if the online options aren't live, we accept bookings via phone too.
Caves, Blacksmiths and Stockton Beaches main locations.",False,learntosurfnewcastle-surfgroms,
102391|Fareharbor,102391,Fareharbor,NRMA Insurance SurfGroms - Weekly Surf Program,Operated out of Kings Beach or Dicky Beach | 4 sessions,235.0,AUD,Child: $213.64,,,https://cdn.filestackcontent.com/BGJQc4CYQ12jiGYMW4Ym,"[""https://cdn.filestackcontent.com/BGJQc4CYQ12jiGYMW4Ym""]",Water Activities,,,,,,,,"NRMA Insurance SurfGroms adopts an approach to learning that uses group-based games to not only equip your child with the skills they need to surf and/or SUP, but also to encourage their participation by having fun. Every NRMA Insurance SurfGroms lesson is designed purposefully to create a positive and supportive learning environment.

NRMA Insurance SurfGroms teaches children from 5-12 years old core skills in the ocean across five incremental skill levels, as well as fundamental Ocean Awareness and Beach Safety skills such as surf survival and rescue techniques; basic first aid skills; and about varying surf conditions at the beach.",,"We will provide you with the following when you arrive for your lesson:
Surfboard
Wetsuit
Rash Shirt
Sunscreen
Experienced and accredited Surfing Australia instructors",,,,,"Location: Dependent on Conditions
North Caloundra Surf School - KINGS BEACH LOCATION: Pedestrian, Kings Beach, QLD, Australia
MEETING POINT: on the pedestrian beach path at the corner of the Lions Park at the end of Levuka Avenue, Kings Beach
Click here to see on Google Maps (https://goo.gl/maps/ZVRUzzHwkEM2)
North Caloundra Surf School - DICKY BEACH LOCATION: Bell St, Dicky Beach, QLD, Australia
North Caloundra Surf School - HAPPY VALLEY LOCGATION: Opposite Ian st, Happy Valley Lane, QLD, Australia
Click here to see on Google Maps (https://goo.gl/maps/rsmVGrArpuP2)",,Times vary to suit safest conditions. We will be in contact regarding start time for each session.,,"We provide the necessities for your surf lesson, but try to remember the following items:
Swimmers or Boardshorts
Towel
Sunscreen
Drinking water
A HUGE smile and readiness to have lots of fun !!",,,,,,,,,,"At our surf school, we run surf lessons in all weather and surf conditions, rain hail or shine, providing it is safe to do so. If the surf is too big, or completely flat, or if the conditions are unsafe due to high winds or lightning, then we will reschedule your lesson. If we change the time and you are unable to come to the new lesson, then we will provide a credit toward another lesson at a later date. If that is unsatisfactory we may issue a refund at our discretion.

If you would like to reschedule a lesson you have booked, we need at least 24 HOURS NOTICE. Failure to give the necessary notice will mean you forfeit the cost of that lesson. Under these circumstances there are no refunds, partial or otherwise.",24.0,10,AU $185.00/child + $25 Surfing Australia Administrative Fee,False,northcaloundrasurfschool-surfgroms,
102610|Fareharbor,102610,Fareharbor,NRMA SurfGroms - Weekly 90mins lessons,Starting from $200pp · 4 Lesson Programs + online booking fee,195.0,AUD,Child - 4 Lesson program: $177.27 | Child - 7 Week: $263.64 | Child - 8 Week: $295.45,,,https://cdn.filestackcontent.com/0FgQdiCnRhGkabbsxG6s,"[""https://cdn.filestackcontent.com/0FgQdiCnRhGkabbsxG6s""]",,,,,,,,,"NRMA SurfGroms adopts an approach to learning that uses group-based games to not only equip your child with the skills they need to surf and/or SUP, but also to encourage their participation by having fun. Every Woolworths SurfGroms lesson is designed purposefully to create a positive and supportive learning environment.

NRMA SurfGroms teaches children from 5-12 years old core skills in the ocean across five incremental skill levels, as well as fundamental Ocean Awareness and Beach Safety skills such as surf survival and rescue techniques; basic first aid skills; and about varying surf conditions at the beach.

Our sessions have flexible times and locations to ensure a safe and fun lesson so listed times are only approximate. The tide plays a huge part in how the waves work so we use the tide charts and the surf conditions to plan our programs. Surfing is a lifestyle with the ocean our playground, every grom and parent will learn all about Newcastle's beautiful beaches and how to have the most fun surfing them. Main locations are Caves, Blacksmiths and Stockton Beaches.

Every child registered for a NRMA SurfGrom program will receive a gift pack at the start of each season.",,"Inclusions: We will provide you with the following when you arrive for your lesson:
Surfboard
Wetsuit
Rash Shirt
Sunscreen
Experienced and accredited Surfing Australia instructors",,,IMPORTANT INFORMATION: Please note our sessions are timed to tide and surf conditions so locations will vary to ensure the safest lessons. Times listed are a guide only and subject to change.,All lessons are 80-90 minutes,"Locations:
CAVES BEACH: 127/139 Caves Beach Rd, Caves Beach NSW 2281, Australia
Click here to see on Google Maps (https://goo.gl/maps/xdDBRDWrjP62)
BLACKSMITHS BEACH: Swansea Belmont Surfclub , Blacksmiths NSW 2281, Australia
Meet at the car park on the right side of the Swansea Belmont Surf Life Saving Club.
Click here to see on Google Maps (https://goo.gl/maps/dgc8sevfMVw)

Locations: Caves, Blacksmiths and Stockton Beaches.",,,,"Bring: We provide the necessities for your surf lesson, but try to remember the following items:
Swimwear
Towel
Sunscreen
Drinking water
A HUGE smile and readiness to have lots of fun !!
A piece of fruit!",,,,,,,,,,"At Learn to Surf Newcastle, we run surf lessons in all weather and surf conditions, rain hail or shine, providing it is safe to do so. If the surf is too big, or completely flat, or if the conditions are unsafe due to high winds or lightning, then we will reschedule your lesson. If we change the time and you are unable to come to the new lesson, then we will provide a credit toward another lesson at a later date. If that is unsatisfactory we may issue a refund at our discretion.

If you would like to reschedule a lesson you have booked, we need at least 24 HOURS NOTICE. Failure to give the necessary notice will mean you forfeit the cost of that lesson. Under these circumstances there are no refunds, partial or otherwise.",24.0,10,"4 Lesson Program - AU $200pp + online booking fee
Dates and times listed are a guide only and subject to change with surf conditions and tides.
Please call to book if dates online don't suit, we can usually fit you in any weekend all year round.",False,learntosurfnewcastle-surfgroms,
103110|Fareharbor,103110,Fareharbor,Hobie Wave Catamaran Hire,1 Hour Hire $66 | 2 Hour Hire $110,66.0,AUD,1-Hour Hire: $60.00 | 2-Hour Hire: $100.00,,,https://cdn.filestackcontent.com/SU7or4fWSA67fNaHLfvE,"[""https://cdn.filestackcontent.com/SU7or4fWSA67fNaHLfvE"", ""https://cdn.filestackcontent.com/F1DzXZBsQmjxXT4QkeGQ"", ""https://cdn.filestackcontent.com/kPjN2Z3QImwxl3rxAyJA""]",Catamaran,Coode St,South Perth,WA,AU,6151,-31.986212,115.862721,"What better way to enjoy a Perth summer day than playing on the beautiful Swan River?
9:00am - 5:00pm
Even if you have never sailed or paddled before, Funcat's friendly and experienced staff will have you out on the water in no time. After some basic tuition and demonstration, you will be out sailing on the beautiful swan river before you know it. Our Hobie cats up to four people, so those nobody will miss out on any of the fun. For the more experienced sailor you may enjoy the perfect racing arena that is found on the Swan.",,,,,,"To help ensure a great day out we ask you and your guests and family to please be mindful of the following:

Everyone sailing needs to be prepared to get wet! Even in light winds water will sweep across the decks, so you will likely be wet from, at least the waist down. Also be aware that it is always cooler on the water, so wearing a spray jacket or warm top on the catamarans isn't such a bad idea. It's also a good idea to bring a change of clothes, if you are planning on staying at the river after your sail

In the past we have had some issues with theft from cars in the car park behind Funcats, so we strongly recommend you do not leave valuable is your car. If you have nobody ashore to look after your valuables, we would be happy to do so for you.

Please keep it in mind that we often see back-to-back bookings with our catamarans, so we do ask that you and your guests and family are ready to head out on the water at least 15-20 minutes prior to your booked time. This gives us enough time to be able to kit everyone out with life jackets and take you through a lesson (if required) and safety briefing.
We want you to be able to enjoy the full hour, or two, you have booked and this is the best way to ensure this happens.",,,,,,,,"Q. At what age is it safe to take children on a catamaran?
A. 5 years of age is the youngest age we will allow children on the catamarans. If you wish to take young children on a catamaran, we suggest that you discuss this with us on the day. Factors such as sailing experience of the person in charge of the catamaran and the conditions on the day very much influence the advice we give to hirers.
Someone 16 or over MUST be present on each boat in your hire. If you do not have a 16-year-old or older present, unfortunately your booking will be forfeit.",,,,,,,Customers will receive a full refund or credit with 24 hours notice of cancellation. Customers will also receive a full refund or credit in case of operator cancellation due to weather or other unforeseen circumstances. Contact us by phone to cancel or inquire about a cancellation. No-shows will be charged the full price.,24.0,10,"1 Hour Hire: $66
2 Hour Hire: $110",False,funcats,
103112|Fareharbor,103112,Fareharbor,SUP Hire,1 Hour Hire $27.50 | 2 Hour Hire $44,27.5,AUD,1-Hour Hire: $25.00 | 2-Hour Hire: $40.00,,,https://cdn.filestackcontent.com/ib0vyt8dTwShdbwR3l1c,"[""https://cdn.filestackcontent.com/ib0vyt8dTwShdbwR3l1c""]",Water Activities,Coode St,South Perth,WA,AU,6151,-31.986212,115.862721,"What better way to enjoy a Perth summer day than playing on the beautiful Swan River?
9:00am - 5:00pm
Stand Up Paddle Boarding (SUP) has quickly become one of the worlds most popular outdoor recreational activities. SUP is not only extremely enjoyable it is a great way to keep fit and healthy! For fitness, fun or just for a leisurely and unique site seeing tour, visit us at Funcats and find out how easy and enjoyable it is!",,,,,,"We are delighted you have decided to spend some time with us an enjoy our beautiful Swan River! To help ensure a great day out we ask you and your guests and family to please be mindful of the following:

Everyone Paddling needs to be prepared to get wet! Falling off isn't a certainty...but always a possibility! Also be aware that it is always cooler on the water, so wearing a spray jacket or warm top paddle boarding isn't such a bad idea. It's also a good idea to bring a change of clothes, if you are planning on staying at the river after your sail

In the past we have had some issues with theft from cars in the car park behind Funcats, so we strongly recommend you do not leave valuable is your car. If you have nobody ashore to look after your valuables we would be happy to do so for you.

Please keep it in mind that we often see back to back bookings with our stand up paddle boards, so we do ask that you and your guests and family are ready to head out on the water at least 15-20 minutes prior to your booked time. This gives us enough time to take you through a lesson (if required) and safety briefing.
We want you to be able to enjoy the full hour, or two, you have booked and this is the best way to ensure this happens.",,,,,,,,,,,,,,,Customers will receive a full refund or credit with 24 hours notice of cancellation. Customers will also receive a full refund or credit in case of operator cancellation due to weather or other unforeseen circumstances. Contact us by phone to cancel or inquire about a cancellation. No-shows will be charged the full price.,24.0,10,"1 Hour Hire: $27.50
2 Hour Hire: $44",False,funcats,
103113|Fareharbor,103113,Fareharbor,Single Kayak Hire,1 Hour Hire $27.50 | 2 Hour Hire $44,27.5,AUD,1-Hour Hire: $25.00 | 2-Hour Hire: $40.00,,,https://cdn.filestackcontent.com/0JcBm89tSrmtUvHr12iQ,"[""https://cdn.filestackcontent.com/0JcBm89tSrmtUvHr12iQ""]",Water Activities,Coode St,South Perth,WA,AU,6151,-31.986212,115.862721,"What better way to enjoy a Perth summer day than playing on the beautiful Swan River?
9:00am - 5:00pm
Hire a Kayak and explore the beautiful Swan River at your own pace. There is nothing more tranquil than skimming quietly across the water not disturbing the natural wildlife. Often seen while Kayaking on the Swan River are dolphins, the famous black swans and pelicans.",,,,,,"To help ensure a great day out we ask you and your guests and family to please be mindful of the following:

Everyone kayaking needs to be prepared to get wet, from at least the waist down! Also be aware that it is always cooler on the water, so wearing a spray jacket or warm top on our kayaks isn't such a bad idea. It's also a good idea to bring a change of clothes, if you are planning on staying at the river after your sail

In the past we have had some issues with theft from cars in the car park behind Funcats, so we strongly recommend you do not leave valuable is your car. If you have nobody ashore to look after your valuables we would be happy to do so for you.

Please keep it in mind that we often see back to back bookings with our kayaks, so we do ask that you and your guests and family are ready to head out on the water at least 15-20 minutes prior to your booked time. This gives us enough time to be able to take you through a lesson (if required) and safety briefing.
We want you to be able to enjoy the full hour, or two, you have booked and this is the best way to ensure this happens.",,,,,,,,,,,,,,,Customers will receive a full refund or credit with 24 hours notice of cancellation. Customers will also receive a full refund or credit in case of operator cancellation due to weather or other unforeseen circumstances. Contact us by phone to cancel or inquire about a cancellation. No-shows will be charged the full price.,24.0,10,"1 Hour Hire: $27.50
2 Hour Hire: $44",False,funcats,
103114|Fareharbor,103114,Fareharbor,Double Kayak Hire,1 Hour Hire $55 | 2 Hour Hire $88,55.0,AUD,1-Hour Hire: $50.00 | 2-Hour Hire: $80.00,,,https://cdn.filestackcontent.com/qeCtxpQUQDapFt5JEjJV,,Water Activities,Coode St,South Perth,WA,AU,6151,-31.986212,115.862721,"What better way to enjoy a Perth summer day than playing on the beautiful Swan River?
09:00am - 5:00pm
Hire a Kayak and explore the beautiful Swan River at your own pace. There is nothing more tranquil than skimming quietly across the water not disturbing the natural wildlife. Often seen while Kayaking on the Swan River are dolphins, the famous black swans and pelicans.",,,,,,"We are delighted you have decided to spend some time with us an enjoy our beautiful Swan River! To help ensure a great day out we ask you and your guests and family to please be mindful of the following:

Everyone paddling needs to be prepared to get wet, from at least the waist down! Also be aware that it is always cooler on the water, so wearing a spray jacket or warm top on the kayaks isn't such a bad idea. It's also a good idea to bring a change of clothes, if you are planning on staying at the river after your sail

In the past we have had some issues with theft from cars in the car park behind Funcats, so we strongly recommend you do not leave valuable is your car. If you have nobody ashore to look after your valuables we would be happy to do so for you.

Please keep it in mind that we often see back to back bookings with our kayaks, so we do ask that you and your guests and family are ready to head out on the water at least 15-20 minutes prior to your booked time. This gives us enough time to be able to kit everyone out with life jackets and take you through a lesson (if required) and safety briefing.
We want you to be able to enjoy the full hour, or two, you have booked and this is the best way to ensure this happens.",,,,,,,,,,,,,,,Customers will receive a full refund or credit with 24 hours notice of cancellation. Customers will also receive a full refund or credit in case of operator cancellation due to weather or other unforeseen circumstances. Contact us by phone to cancel or inquire about a cancellation. No-shows will be charged the full price.,24.0,10,"1 Hour Hire: $44
2 Hour Hire: $88",False,funcats,
103597|Fareharbor,103597,Fareharbor,Beginner Surf Lesson - Port Fairy,All ages and abilities (5+yrs),40.0,AUD,Person: $36.36,,,https://cdn.filestackcontent.com/YOvwmVrkT26iHLlcFUyo,"[""https://cdn.filestackcontent.com/sekoWLtcSWmBCNyszFIg"", ""https://cdn.filestackcontent.com/uClk83waSrqICZuIHk0m"", ""https://cdn.filestackcontent.com/Xh1sXRA8SI2eqbY8SJfT"", ""https://cdn.filestackcontent.com/o937xfa0RM2VXMhRZnVX"", ""https://cdn.filestackcontent.com/SEfPmGKSMuNmnh5edvWg"", ""https://cdn.filestackcontent.com/eS1THYdUQoC0d4uls2Z8"", ""https://cdn.filestackcontent.com/rlnfzfPCQROe5SnjPUJU"", ""https://cdn.filestackcontent.com/PTUhZ61SiOAT5fswrERw""]",,,,,,,,,"Beginner Surfing Lessons with all equipment!
GO Surf School will teach you the skills of surfing and how to handle yourself and your surfboard in the ocean, while having a stack of fun along the way. Beginner and Intermediate surfers will also learn how to assess surf conditions and identify potential risks. We provide coaching to all ages and levels of surfing ability. Our instructors are there to help you learn to surf and provide advice on all questions related to surfing. We hope that you’ll love surfing as much as we do. We'll get you up and riding in no time!
Roll up at the beach at your start time with your swimwear on.
Your coach will introduce themselves and gets you sorted with a wetsuit and board.
You will start with some beach-based technique and surf safety info. We are big on getting it right on the beach and getting you ready to hit the waves.
You then hit the surf in waist deep water and waves suitable for your ability.
Surf coaches will help get you up and riding by pushing you into a few waves, giving feedback on your technique, keeping an eye on your safety, encouraging you and maximising your fun.
Surfers will leave the water approximately 15mins prior to the end of the lesson.
A feedback session with goals for your next surf lesson is done before getting changed.",,"All equipment is provided including surfboards suited to your abilities. Our equipment is the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for intermediate and beginner surfers. Quality Rip Curl and Quiksilver wetsuits keep you warm and coloured GO Surf rash vests easily identify you in the water.
All our wetsuits are disinfected after use. However, due to Covid-19, as a precaution, we recommend you wear your own of you have one.",,,,"Just a few things to remember so you have a great day!
Participation Form: Attached is a participation waiver form. Please print and sign the form and bring it with you on the day. If you don't have access to a printer we will have spare forms on the day.
0408310001
Go Surf Standard Participant Waiver (https://cdn.filestackcontent.com/PS8gvYDQTsejIBZXAY0w)
Please print and sign Go Surf Standard Participant Waiver.pdf (https://cdn.filestackcontent.com/GulX0M5ySV2b3psJm8Tw) to give to your instructor on the day of your first lesson. If you don't have access to a printer, spare forms will be available on the day.","Summer School Holidays (27 Dec-End Jan): Please meet on the grassed carpark area corner of Ritchie St., Beach St. and Hanley Crt., 5 minutes before your scheduled lesson. Look for the green Go Surf trailer parked at the top of the beach.
Rest of the Year: Meet at the toilet block on Beach Street (just past SLSC), East Beach.
This is a fabulous, safe, learn to surf beach with good beginner style waves.",,,,"Come in your bathers or boardies and bring a towel and sunscreen. There are no bathrooms at this location. If you have your own full length wetsuit you can wear it.

Surfers need to wear a swimsuit or boardies and bring a towel and lots of sunscreen. Don’t forget a camera to document the fun you will have.",,,,,Please let our instructors know of any medical conditions they should be aware of and if anyone can't swim. Please do not leave the beach area without notifying an instructor. You are welcome to get in the water and assist your child if you think they will benefit from your presence.,,,,,"##Cancellation policy

Surfing lessons will not be cancelled due to rain, but maybe cancelled if the conditions are deemed to be dangerous, or if we don't get enough bookings to run the lesson.  You will be contacted ASAP if, for some reason, the lesson/hire is postponed or cancelled. 

REFUNDS:
All customers will be given a refund or a credit if the class is cancelled. 
If a customer wishes to cancel their lesson, and provided they give Go Surf School at least **48 HOURS NOTICE** they can have their booking rescheduled to another day. If a customer fails to arrive or cancels on the day, then they will forfeit their payment. Refunds are only given in extenuating circumstances and on the decision of management less a 10% booking fee.
COVID-19: Any Go Surf bookings that are cancelled due to COVID-19 government lockdowns or border closures and can not be rescheduled will receive a full refund.",24.0,10,A$40 per person,False,gosurf,
103606|Fareharbor,103606,Fareharbor,Stand Up Paddleboard Hire - Port Fairy,Hire a Stand Up Paddleboard on Port Fairy's East Beach this Summer.,35.0,AUD,Person: $31.82,2 Hours,,https://cdn.filestackcontent.com/88urtKpwQmMzrFx0JfNw,"[""https://cdn.filestackcontent.com/utgQUqapTfa7RJAsiqdP"", ""https://cdn.filestackcontent.com/9xNX8SxmS4mI5VFilHNZ"", ""https://cdn.filestackcontent.com/zWDG7nTSsaQ8mF4nxN80"", ""https://cdn.filestackcontent.com/OGXKwveMQX2vWzxkfwd7""]",,,,,,,,,"Fun for the whole family. Join the new surfing phenomenon and try Stand Up Paddleboarding- the fastest growing watersport in the world!
""Thanks for 1 of the best experiences of my life! Stand-up Paddle boarding with a pod of dolphins, playing & frolicking with us for about 25 minutes = Amazing!! Not to mention a few seals swam by too…"" – Cassie Sherwel
Fun, easy and scenic, the BEST way to explore Port Fairy’s beaches!
If you are wanting to tick Stand Up Paddleboarding of your bucket list, Port Fairy's East Beach is this is the place to do it. You can start in flat water and try catching some small waves over a leisurely 2 hours. It’s easier than you might think and is hugely popular with all the mum’s!
Fun for the whole family- its a perfect family activity and everyone, even the little kids, can have a go, or just sit up the front and let dad paddle them around.
You can paddle up to 100meters off the beach and along the river wall. (Not in the river or around the river mouth- for safety reasons this is only available for guided tours)
There are no bathrooms at this location.",,"Our equipment is the best available on the market and produced specifically for Surf Schools.
We use soft, stable boards that are easy to balance, paddle, stand and surf on for beginners.
Warm full length wetsuits are available if you want to wear one but you will be exercising above the water so most of the time over summer you won't need one.
We will provide you with a coloured rash vest so we can easily identify participants in the water.
We also have life vests available.

What is provided: Our stand up paddleboards are the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for beginner paddleboarders. you will be provided with a beginner board and adjustable paddle.",,,"Cancellations: Paddleboarding can become difficult in strong winds. Because we want your experience to be a fantastic one, we may have to postpone hires if the wind is over 25km. It's actually a great activity on an overcast or rainy day...you're probably going to get wet anyway! You will be contacted if, for some reason, the hire is postponed or cancelled.","Here is the what, when and where.
0408310001","Location: Port Fairy's beautiful East Beach is one of the safest beaches to learn to SUP in Victoria. Meet on the beach at the end of Battery Lane off Griffiths St. Please arrive 5 minutes prior to your hire time so we can organise your equipment.

We bring to you! We hire paddle boards at the sheltered corner of East Beach. Please meet on the beach at the end of Battery Lane, the protected area of Port Fairy's Little East Beach near the rock wall.",,,,"What to bring: Just your swimmers or boardies, a towel and sunscreen. Don't wear expensive sunglasses...they sink! You are mostly exercising above the water so you can get quite warm. Usually participants are happy in board shorts, swimmers, rash vest or tee.",,,"Rules: You are welcome to share the paddleboards with family and friends over the 2hr hire. Please return the paddleboard to the beach at Battery Lane at the end of the hire. For safety, please DO NOT go more than 100meters off the beach area and not near the river mouth or into the river.",,,,,,,"##Cancellation policy

Surfing lessons will not be cancelled due to rain, but maybe cancelled if the conditions are deemed to be dangerous, or if we don't get enough bookings to run the lesson.  You will be contacted ASAP if, for some reason, the lesson/hire is postponed or cancelled. 

REFUNDS:
All customers will be given a refund or a credit if the class is cancelled. 
If a customer wishes to cancel their lesson, and provided they give Go Surf School at least **48 HOURS NOTICE** they can have their booking rescheduled to another day. If a customer fails to arrive or cancels on the day, then they will forfeit their payment. Refunds are only given in extenuating circumstances and on the decision of management less a 10% booking fee.
COVID-19: Any Go Surf bookings that are cancelled due to COVID-19 government lockdowns or border closures and can not be rescheduled will receive a full refund.",24.0,10,People: $35,False,gosurf,
103607|Fareharbor,103607,Fareharbor,Surfboard Hire - Port Fairy,Hire a surfboard on Port Fairy's East Beach this Summer.,25.0,AUD,Person: $22.73,2 Hours,,https://cdn.filestackcontent.com/HUWfjKXuQlqRPhACQssS,"[""https://cdn.filestackcontent.com/ZP7gNWlHSdenZ2tociW1""]",,,,,,,,,"Hire a surfboard for endless fun at East Beach. One of the safest and best beginner surf beaches in Victoria!
GO Surf School’s hires surfboards, wetsuits and paddle boards on Port Fairy's East beach in Spring, Summer and Autumn. Experience the thrill of catching your first wave. We hope that you will love surfing as much as we do. Standing on a board for the first time is a buzz!",,"We have soft beginner surfboards to suited to everyones abilities. Our equipment is the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for intermediate and beginner surfers. Quality Rip Curl, Billabong and Quiksilver wetsuits keep you warm in the water.

What is provided: Our surfboards are the best available on the market and produced specifically for Surf Schools. We use soft, stable boards that are easy to balance, paddle, stand and surf on for beginners. We have wetsuits available so just contact us in advance with your size.",,,"Cancellations: We only cancel if the conditions are unsafe (eg. lightening or extreme winds). Surfers surf in all weather and its actually a great activity on an overcast or rainy day...you're going to get wet anyway! You will be contacted if, for some reason, the hire is postponed or cancelled.

East Beach is off shore in westerly winds, but there is almost always a wave there suitable for beginners in any wind conditions. Surfers surf in all weather, all year round. It's actually a great activity on a rainy day...you're going to get wet anyway!","Here is the what, when and where.",Location: Port Fairy's beautiful East Beach is one of the safest beaches to learn to surf in Victoria. Meet on the grassed area at the East Beach end of Ritchie St (2 blocks past the SLSC). Please arrive 5 minutes prior to your hire time so we can organise your equipment.,,,,"What to bring: Just your wetsuit, swimmers or boardies, a towel and sunscreen.",,,,,,,,,,"##Cancellation policy

Surfing lessons will not be cancelled due to rain, but maybe cancelled if the conditions are deemed to be dangerous, or if we don't get enough bookings to run the lesson.  You will be contacted ASAP if, for some reason, the lesson/hire is postponed or cancelled. 

REFUNDS:
All customers will be given a refund or a credit if the class is cancelled. 
If a customer wishes to cancel their lesson, and provided they give Go Surf School at least **48 HOURS NOTICE** they can have their booking rescheduled to another day. If a customer fails to arrive or cancels on the day, then they will forfeit their payment. Refunds are only given in extenuating circumstances and on the decision of management less a 10% booking fee.
COVID-19: Any Go Surf bookings that are cancelled due to COVID-19 government lockdowns or border closures and can not be rescheduled will receive a full refund.",24.0,10,People: $25,False,gosurf,
