product_id,supplier,RAW description (source),RAW booking notes (source),About,Highlights,What's Included,What's NOT Included,Itinerary,FAQs,What to Bring,Duration,Requirements,Cancellation Policy,Check-in,Min Age,Max Age,Group Size,Meeting Point,Other (description),Booking: What to Bring,Booking: What NOT to Bring,Booking: Inclusions,Booking: Location,Booking: Check-in,Booking: Departure Info,Booking: Itinerary,Booking: Important Info,Booking: Cancellation,Booking: FAQs,Booking: Before Arrival,Booking: Contact,Other (booking)
598043,,"duration: 2 to 8 hours!
meeting_point: Jerusalem Creek Marina & Holiday Park
description: 2 to 8 hours!
what_is_included:",,,,,,,,,2 to 8 hours!,,,,,,,Jerusalem Creek Marina & Holiday Park,,,,,,,,,,,,,,
598435,,"##Duration 
1 Hour

##About 
Private 1 hour lesson with your own surf coach especially designed for mini surfers! Build water confidence and catch some little person waves!

##More info 
Includes wetsuit & surfboard hire",,Private 1 hour lesson with your own surf coach especially designed for mini surfers! Build water confidence and catch some little person waves!,,wetsuit & surfboard hire,,,,,1 Hour,,,,,,,,,,,,,,,,,,,,,
420329,,"##Duration
8 Night All-Inclusive Small Group Tour departing Cairns

##About
Travel by luxury 4WD to the very tip of the Australian Mainland on this fully accommodated 9-day drive/fly adventure. Visit iconic Australian Pubs, drive along the legendary Bloomfield Track and the Telegraph track on this once-in-a-lifetime Australian Adventure.",,"Travel by luxury 4WD to the very tip of the Australian Mainland on this fully accommodated 9-day drive/fly adventure. Visit iconic Australian Pubs, drive along the legendary Bloomfield Track and the Telegraph track on this once-in-a-lifetime Australian Adventure.",,,,,,,8 Night All-Inclusive Small Group Tour departing Cairns,,,,,,,,,,,,,,,,,,,,,
554761,,"##Duration
- 4 Hours to 1 Week
- Open 8:30am - 5:30pm

##About
Here at Boss Outdoor Rentals we have all the equipment you need for your next adventure - all available for hire! We have Boats, Bikes, Kayaks, Surfboards, Stand-Up Paddle Boards, Snorkelling, Fishing, Camping & Hiking Equipment + heaps more!",,"Open 8:30am - 5:30pm

Here at Boss Outdoor Rentals we have all the equipment you need for your next adventure - all available for hire! We have Boats, Bikes, Kayaks, Surfboards, Stand-Up Paddle Boards, Snorkelling, Fishing, Camping & Hiking Equipment + heaps more!",,,,,,,4 Hours to 1 Week,,,,,,,,,,,,,,,,,,,,,
470304,,"##About
Epoxy Fish Rentals

##Includes
- Free soft roof racks if required.
- Free wetsuit if required.
- Free local delivery to your accommodation or the beach

##Duration
1-15 Days","#Thanks for booking online!

###Please contact Manly Surf Guide to arrange a time for pick-up or delivery
Email: **manlysurfguide@gmail.com** | PH: **0412 417 431**","Epoxy Fish Rentals
Free soft roof racks if required.
Free wetsuit if required.",,Free local delivery to your accommodation or the beach,,,,,1-15 Days,,,,,,,,,,,,,,,,,,,,"Please contact Manly Surf Guide to arrange a time for pick-up or delivery
Email: manlysurfguide@gmail.com | PH: 0412 417 431",
686496,,"duration: 7 Hours
meeting_point: 36 Marshall st , Hyden WA 
group_size: 4
description: Full-day guided experience visiting The Greater Western Woodlands ,Lake Cronin, granite outcrops, the Holland Track and surrounding farms. Guests experience local wildlife, bushfoods, and yabby catching before finishing at Katter Kich Gallery.
highlights: Private exclusive experience !
what_to_bring: It is recommended to wear covered shoes and a hat.",,"Full-day guided experience visiting The Greater Western Woodlands ,Lake Cronin, granite outcrops, the Holland Track and surrounding farms. Guests experience local wildlife, bushfoods, and yabby catching before finishing at Katter Kich Gallery.",Private exclusive experience !,,,,,It is recommended to wear covered shoes and a hat.,7 Hours,,,,,,4,"36 Marshall st , Hyden WA",,,,,,,,,,,,,,
302587,,"description: For over 60,000 years First Nations mobs have had things which go bump in the night. 

Come and immerse yourself with the ancient spirits and creatures of the Dreamtime. 

Share stories and ghostly experiences around the campfire at Barangaroo Reserve.","The meeting place is Munn St, Reserve. Please arrive on time as tour will start promptly at 8pm. Please arrive 10 MINUTES before your start time.","For over 60,000 years First Nations mobs have had things which go bump in the night.

Come and immerse yourself with the ancient spirits and creatures of the Dreamtime.

Share stories and ghostly experiences around the campfire at Barangaroo Reserve.",,,,,,,,,,,,,,,,,,,"The meeting place is Munn St, Reserve.",,"Please arrive on time as tour will start promptly at 8pm.
Please arrive 10 MINUTES before your start time.",,,,,,,
450394,,"A shorter hire experience (3hrs) where you will have the opportunity to explore the township of Kangaroo Valley at your own pace by following local paved bike paths at your leisure. This is an ideal option for a family, couple or group that are looking to fill a morning or afternoon. 
Why not combine it with our Bridge to Bendeela Kayaking experience for even more value?","##What to Bring
- Sunglasses
- Water
- Backpack (If needed)","A shorter hire experience (3hrs) where you will have the opportunity to explore the township of Kangaroo Valley at your own pace by following local paved bike paths at your leisure. This is an ideal option for a family, couple or group that are looking to fill a morning or afternoon.",,,,,,,3hrs,,,,,,,,Why not combine it with our Bridge to Bendeela Kayaking experience for even more value?,"- Sunglasses
- Water
- Backpack (If needed)",,,,,,,,,,,,
734601,,"duration: 1.5hrs
min_age: 8
max_age: 100
accessibility: Our front door is wheelchair friendly but unfortunately our bathroom is too small to accommodate
description: Kids will learn how to roll out a slab with clay, then use tools to carefully trace from our shell templates. Then we will sit into a plastic plate to create the perfect shape!

Kids will then have time to decorate their shell with tools to create texture and paints for colour.",We look forward to seeing you in SHELLHARBOUR!,"Kids will learn how to roll out a slab with clay, then use tools to carefully trace from our shell templates. Then we will sit into a plastic plate to create the perfect shape!

Kids will then have time to decorate their shell with tools to create texture and paints for colour.",,,,,,,1.5hrs,Our front door is wheelchair friendly but unfortunately our bathroom is too small to accommodate,,,8,100,,,,,,,,,,,,,,,,
661870,,"duration: 2.5 hours 
meeting_point: Tyabb Airport 
description: Depart Tyabb and track across Phillip Island, taking in views of rugged cliffs, sweeping beaches, and turquoise waters before following the stunning coastline toward Wilsons Promontory, Victoria’s southernmost point. Touch down at the award-winning Gurneys Cidery, perched high above the coast, for a relaxed lunch and tasting with breathtaking ocean views.

 After sampling world-class cider and local produce, reboard your helicopter for a spectacular return flight to Tyabb, tracing the coast all the way home. This is coastal flying at its finest — wild, beautiful, and utterly unforgettable.
what_is_included:",,"Depart Tyabb and track across Phillip Island, taking in views of rugged cliffs, sweeping beaches, and turquoise waters before following the stunning coastline toward Wilsons Promontory, Victoria’s southernmost point. Touch down at the award-winning Gurneys Cidery, perched high above the coast, for a relaxed lunch and tasting with breathtaking ocean views.

After sampling world-class cider and local produce, reboard your helicopter for a spectacular return flight to Tyabb, tracing the coast all the way home. This is coastal flying at its finest — wild, beautiful, and utterly unforgettable.",,,,,,,2.5 hours,,,,,,,Tyabb Airport,,,,,,,,,,,,,,
